Page   1 | 27(A) e-Office application and the procedures for implementation of
Page 223 | 8. Open system.— Based on objections that there was scope for superior
Page 223 | 9. Communication of adverse remarks.— (1) All adverse entries made
Page 224 | 10. Entries to be made and not to be made in the Personal Files.—
Page 225 | 11. Preservation of Personal Files.— The following procedure should
Page 225 | 12. Watching movement of personal files.— A register should be
Page 226 | 478. Regulation of Services and completion of probation.— In
Page 227 | 479. Probation Register — Maintenance of — Procedure.— A register
Page 228 | 480. Probation sheet.— As soon as a person is regularly appointed to a
Page 229 | 481. Maintenance of Increment Register.— (1) As per the  first
Page 230 | 481-A. Register of Caste / Community details of personnel.— A
Page 231 | 482.
Page 231 | 483. *Appointment to substantive capacity.— Register of substantive
Page 232 | 484. Advancement to Selection Grade/Special Grade Posts in
Page 235 | 485. Various Classifications of Pensionary benefits available to the
Page 237 | 486. Preparation of Pension Papers — Role of the Office
Page 239 | 487. The main points to be kept in mind by the Office
Page 245 | 488.
Page 245 | 489. Mode of payment of Family Pension to the family of a
Page 248 | 490. Payments that shall be made on the next working day
Page 250 | 491. Provision of Immediate relief to the families of Government
Page 251 | 492. Sanction and Disbursement of Family Benefit Fund amount to
Page 251 | 493. Tamil Nadu Government Employees Special Provident Fund-
Page 254 | 494. General.— Each Department of the Secretariat has a Bill section to
Page 254 | 495. Preparation of Bills.— The Bills section prepares the pay bills and
Page 255 | 496. Presentation of pay bills, etc., at Pay and Accounts Office,
Page 256 | 497. Clearance of Bills from the Pay and Accounts Office,
Page 256 | 498. Payments — Accounting procedure — Maintenance of
Page 257 | 499. Cashing of cheques — Maintenance of Joint Account —
Page 258 | 500. Movement of cash — Procedure.— The following procedures
Page 258 | 501. Disbursement of salary — Procedure.— The following procedure
Page 259 | 502. Maintenance of Cash Book — Procedure.— The Section Officer
Page 259 | 503. Subsidiary Cash Book — Maintenance of.— A subsidiary cash
Page 260 | 504. Preparation of bills.— Maintenance of recovery registers for
Page 260 | 505. Service Books and leave account.— The Service Books and leave
Page 260 | 506. Preparation of number statement.— The Bills section of a
Page 261 | 507. (i) Control of Expenditure.— The Section Officer (Bills) is required
Page 261 | 508. Contingent expenditure.— All amount payable to private parties
Page 261 | 509. Permanent Advance.— Each Department of Secretariat is
Page 263 | 510. Office Hours.— The usual office hours are from 10-00 a.m. to 5.45
Page 263 | 511. Earlier hours of attendance on certain occasions.— On a
Page 264 | 512. Attendance of staff.— Section Officers and Assistant Section
Page 264 | 513. Staying after office hours.— Assistants, Assistant Section Officers
Page 264 | 514. Assistant Section Officers to leave office only with permission
Page 264 | 515. Record Clerks and Office Assistants — Hours of Attendance.—
Page 264 | 516. Hours of work and night duty of Office Assistants working at
Page 265 | 517. Late attendance.— Regularity and punctuality in attendance will be
Page 265 | 518. Regularization of late attendance and leaving office early.—
Page 266 | 519. Members of staff not to leave office during working hours.— A
Page 266 | 520. Attendance Register.— *An Attendance Register shall be
Page 267 | 521. Lunch interval.— *The time allowed for lunch is half-an-hour
Page 267 | 522. Lunch not to be carried into office rooms by servants or
Page 267 | 523. Turn Duty on working days.— An Assistant and a Typist shall be
Page 268 | 524. Holidays.— The office is closed on all Saturdays and Sundays and
Page 268 | 525.
Page 269 | 526. Holidays, submission of papers to officers.— As a general rule,
Page 269 | 527. Compensatory holidays.— The following are the conditions under
Page 270 | 528. Leave.— Members of the Office establishment should obtain prior
Page 270 | 529. Procedure in dealing with leave applications.— Applications
Page 270 | 530. Medical leave — Applications — Processing of — Reference to
Page 271 | 531. Communication of orders on leave applications.— Orders
Page 271 | 532. Casual leave and Restricted Holidays.— Casual leave is not a
Page 272 | 533. Address during Casual Leave.— Applications for casual leave
Page 272 | 534. Maintenance of Casual leave account of staff members and
Page 273 | 535. Casual leave to Senior Personal Assistants and Junior
Page 273 | 536. Examination leave.— In the case of examination leave, the
Page 273 | 537. Absence due to infectious disease.— Whenever a case of
Page 273 | 538. (i) Hours of Attendance.— Joint Secretaries, Deputy Secretaries
Page 274 | 539. General Discipline.— (i) Punctuality and general behaviour.—
Page 276 | 540. Tidiness and cleanliness of the office.— A waste paper box or
Page 276 | 541. Use of identification measures by Basic Servants.— (a) All
Page 277 | 542. Miscellaneous instructions.— No Section Officer or Assistant
Page 277 | 543. Transfer or leave — Handing over of paper and keys —
Page 278 | 544. Transfer of papers between Assistant Section Officers.— No
Page 278 | 545. Covers or boxes sent to Assistant Section Officers or Section
Page 278 | 546. Service of summons in the office by bailiffs.— Summons on
Page 278 | 547. Maintenance of reference books in section.— The reference
Page 278 | 548. Knowledge of Office Procedure.— (i) Every Assistant Section
Page 280 | 549. Control.— The Secretary is the head of the Office. The control and
Page 280 | 550. Office Procedures Section.— Receipt and distribution of tappal,
Page 280 | 551. Office Correspondence.— The office business is transacted and all
Page 280 | 552. Office Papers.— The Office procedures section will attend to Office
Page 280 | 553. Periodical returns.— All returns relating to office matters should
Page 280 | 554. Address of Officers and Staff.— The Office Procedures section
Page 281 | 555. Return of Assets and Liabilities.— Within three months of his/her
Page 281 | 556. Office Purchases.— Articles, such as cycle oil, gloy or gum,
Page 281 | *557. Use of `Permanent Blue' or `Blue Black' ink while writing in
Page 281 | 558. Stationery and forms.— The Office procedure section of each
Page 282 | 559. The Office Procedure section concerned shall present necessary
Page 282 | 560. Custody of date stamps and self-registering stamps.— The
Page 282 | 561. Books in officer's rooms.— Books of reference kept in the officers'
Page 282 | 562. Printing of establishment lists.— The list should be prepared with
Page 283 | 563. Circulation of Gazettes.— (i) The "GAZETTE OF INDIA".— The
Page 283 | 564. Copies of Acts received from Press.— Whenever copies of Acts
Page 283 | 565. Bicycles.— (a) (i) Initial supply.— The first supply of a bicycle or
Page 284 | 566. Liveries.— Office Assistant of officers and Ministers, Office
Page 284 | 567. Typewriters/Computers and other copying machines.— *(i) All
Page 284 | 568. Inventory of office furniture and other stores.— (i) Office
Page 285 | 569. Sale of unserviceable articles.— Unserviceable articles such as
Page 285 | 570. Record Clerks are expected to do the office duties given to them by
Page 285 | 571. Council Dubash is in charge of the Cabinet Room. He/She shall see
Page 285 | 572. Supply of Stationery to Officers.— The Office Assistants in the
Page 285 | 573. Office Assistants.— Office Assistants will be under the immediate
Page 285 | 574. (1) Duffadar will attend office punctually and while on duty, he/she
Page 286 | 575. Sanction of Loans and Advances.— The Office Procedure sections
Page 286 | 576. Reimbursement of Medical expenses.— The Office Procedure
Page 289 | 577. The Secretariat Library is a general reference library for all
Page 289 | 578. Control.— The Library is attached to the Public Department and is
Page 289 | 579. Duties of the Librarian.— The Librarian is responsible for the
Page 289 | 580. Library correspondence — Register and filing.— Currents
Page 289 | 581. Disposal.— Correspondence and orders of an important nature or of
Page 289 | 582.
Page 290 | 583. Transmission of publications not intended for Library.—
Page 290 | 584. Books to be maintained in the Library.— As a general rule, not
Page 290 | 585. Stocking of books and publications and their distribution.—
Page 290 | 586. Circulation of latest additions of books lists.— Computer
Page 290 | 587. A Spare copy of list of latest additions of books will be consolidated
Page 290 | 588. Catalogue of new books.— Catalogue of books are computerized.
Page 291 | 589. Data Entries of books.— The data entries such as accession
Page 291 | 590. Issue of books from the Library — General Rules.— The
Page 293 | 591. Consultation of books in the Library.— The privilege consulting
Page 293 | 592. Issue of books from Library.— (Browne charging system).— A
Page 293 | 593. Restoration of books returned.— When books are returned they
Page 293 | 594. Issue of books to Ministers.— In the case of books lent to the
Page 294 | 595. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 294 | 596. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 294 | 597. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 294 | 598.
Page 294 | 599. Watching the receipt of other Government publication.— The
Page 294 | 600. Purchase of books for Ministers.— Books, newspapers and
Page 294 | 601. Scrutiny of bills.— The Librarian should scrutinize every bill for
Page 295 | 602. List of newspapers and periodicals.— The Librarian will maintain
Page 295 | 603. Submission of list of periodicals to officers.— A list of
Page 295 | 604. Circulation and return of periodicals.— As soon as a periodical is
Page 295 | 605. Treatment of periodicals after perusal.— Periodicals returned
Page 295 | 606. Return of newspapers.— News papers and periodicals are supplied
Page 295 | 607. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 295 | 608. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 295 | 609. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 295 | 610. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 295 | 611. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 295 | 612. Reference books for Ministers.— The Personal Assistants of
Page 295 | 613. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 295 | 614. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 296 | 615. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 296 | 616. Tamil Nadu Government Gazette.— Copies of the Tamil Nadu
Page 296 | 617. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 296 | 618. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 296 | 619. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 296 | 620. Destruction of registers.— The following registers maintained in
Page 296 | 621. Stock-taking of books.— The stock-taking of books in the
Page 297 | 622. Press cuttings.— The duty of perusing and marking cuttings from
Page 297 | 623. Release of information to the press.— The Chief Minister will
Page 297 | 624. Administration reports-publication-procedure.— The following
Page 298 | 625. Publicity-procedure.— There is a difference between the amount
Page 298 | 626. (a) All matters for publication in the Press (except administration
Page 300 | 627. Release of Government Advertisements.— The following
Page 300 | 628. Tours of Minister.— (1) When a Minister decides to go on tour, it is
Page 301 | 629. Presents to Basic Servants.— The practice of Last Grade
Page 301 | 630. Use of file boards and circulation cards.— (i) Different classes
Page 302 | 631. Economy in use of stationery.— (i) All members of the
Page 303 | 632. Economy in Expenditure on Contingencies.— The Under
Page 303 | 633. Rules regarding grant of copies of official documents.— (1) A
Page 309 | 634. Production of Documents in Civil Courts.— The procedure laid
Page 309 | 634 A. Procedure for disposal of interim/final order or direction of
Page 310 | 635. Omitted.
Page 310 | 636. Record of discussions.— The following principles should be
Page 311 | 11. Secretariat-Personal Register of Assistant Section Officer
Page 432 | 2. Points to be noted by the establishment section:
Page 432 | 3. Points to be noted by the officer reported upon:
Page 433 | 4. Points to be noted by Reporting Authority:
Page 434 | 5. Points to be noted by Reviewing Authority:
Page 434 | 6. Points to be noted by accepting authority:
